SSP2025寒假02 17
gamify|vt.游戏化;游戏化，使……趣味化;
check off|(c)清点;逐一核对;逐一检查;
check in on sb.|(c)探访，探望某人
skill set|(ss)能力;技能组合;技能集;技能组集;
fairly well|(fw)相当好
socialize|v.社交;(和他人)交往，交际;使适应社会;使社会主义化;按社会主义原则行事;
bounce between A and B|(b)在AB之间徘徊
in terms of|在……方面，从……方面（说来）;根据，按照;从……角度看;用……的话，用……的字眼（或措辞）;用……的思想方法;
fellow|n.家伙;同事;同伴;会员;小伙子;（接受奖学金的）研究生;同类;(某些学院或大学的)董事;男人;男孩;同辈;哥儿们;配对物;adj.同事的;同伴的;同类的;同情况的;
converse|vi.交谈;谈话;n.相反的事物;(事实或陈述的)反面;adj.相反的，逆的，颠倒的;
scenario|n.场景
gem|n.宝石
pandemic|n.大流行病
bargain|v.讨价还价
vendor|n.摊贩
quantify|v.量化
lexical|adj.词汇的
